cR,cP,cY,timestamp
0.06882513712402717,-0.026778457006094877,0.09890405261836198,1759343175.2290373
0.05938903901449185,-0.017705315135154304,0.1000218352099633,1759343175.24346
0.03867508928932849,-0.010531578131796816,0.09601402088771097,1759343175.2639651
0.022795096712728113,-0.010851239825208667,0.09387307197422298,1759343175.2977183
0.0019760341009177826,-0.007301079300098552,0.09149768349057845,1759343175.324659
-0.01319721406257714,-0.009543228948320687,0.09326226437159967,1759343175.3538969
-0.018615330642507373,-0.015389528549327042,0.08199372839474328,1759343175.3827944
-0.017506276106093427,-0.0168900387819405,0.07605099568138309,1759343175.4178765
-0.018792899094107404,-0.018126532481013632,0.069973277489836,1759343175.4455056
-0.014475626332005264,-0.018755110815229303,0.0600520318402991,1759343175.480253
-0.0029532222057902756,-0.014740501687991467,0.050214489753127194,1759343175.5240257
-0.0021656924749564417,-0.014336034113951531,0.024156946119408565,1759343175.5436938
-0.017053459453482966,-0.02250109180237245,-0.009857953899392424,1759343175.5675304
-0.04159902864555471,-0.03821106761233675,-0.015558705854967207,1759343175.5842853
-0.036226008971258286,-0.03514704583917007,0.008322409659954996,1759343175.5996966
-0.06123204128234815,-0.04202972070979186,-0.007752166271369626,1759343175.618116
-0.1325439390687872,-0.058651841132533064,-0.041512175653491856,1759343175.6328723
-0.13548867714073845,-0.05628734230645337,-0.024994722918554216,1759343175.6508174
-0.18098434943216882,-0.05572524552922069,-0.03321562860700055,1759343175.672682
-0.26980862254012683,-0.044452657790010106,-0.0557161533551546,1759343175.6939912
-0.22898473344243706,-0.019328037570394096,-0.0062903770588563016,1759343175.7087607
-0.16614474037969768,-0.010373284889538103,0.02402479427543725,1759343175.722991
-0.18619685232464145,0.003945072592304245,0.043122366533806085,1759343175.7400596
-0.19425190813356036,0.01959858932280495,0.08078203309292964,1759343175.7526016
-0.13112302851663651,0.004271297079015822,0.08038578708202666,1759343175.764917
-0.14153897562432738,0.016886156152392532,0.11605887283361513,1759343175.7783992
-0.08717806846804743,-0.011334678142500084,0.06922656383281907,1759343175.7912157
